Region,Country Code,Country,Population,Public Flows (2021 USD M),Public Flows per Capita (USD),Renewable Energy Share of Electricity Production (%),SDG 7b1 RE capacity per capita (W/inhabitant),Total Non-Renewable,Total Renewable,EPI.old,EPI.new,CDA.old,CDA.new
Africa,TUN,Tunisia,11088497.391304348,116.66462714034783,10.335315143524074,0.020334401966698744,18.846012907695652,16354.126086956523,382.3295652173913,44.8,45.3,38.2,43.6
Africa,TZA,United Republic of Tanzania (the),47905197.43478261,60.12959645330435,1.1724931244851222,0.5693104372109606,13.75454825247826,2663.0975961043478,2418.7627391304345,38.0,43.6,19.1,24.2
Africa,UGA,Uganda,34171651.82608695,207.26079665004346,5.615521228639257,0.8934676296222013,17.20453806652174,256.60891304347825,2711.511347826087,31.6,35.8,13.4,29.5
Africa,ZAF,South Africa,52914669.17391305,752.5933535104782,13.797123179886675,0.018039562164029514,61.35316093913043,221548.36004347823,4007.2666956521734,38.3,42.7,47.6,56.0
Africa,ZMB,Zambia,14497879.43478261,149.1593499048261,9.265221793435884,0.9595305066463221,147.58211099656523,633.3546956521739,11458.07852173913,42.8,46.7,15.6,16.8
Africa,ZWE,Zimbabwe,13499752.086956521,69.043545641,4.856774000388202,0.5876582335540924,65.60733626308695,3594.755217391304,5067.049347826087,42.1,51.6,45.3,69.1
Americas,ABW,Aruba,99941.47826086957,0.0,0.0,0.08626383722499499,221.8049219326087,845.6872173913043,83.96808695652174,62.5,66.9,54.8,68.3
Americas,ARG,Argentina,41523529.26086956,248.79784614147826,5.782267724781561,0.28706933830241665,253.82339287599999,90051.66608695652,34705.42213043478,45.9,47.0,41.8,50.8
Americas,ATG,Antigua and Barbuda,85603.91304347826,4.803953476391305,55.99068488362982,0.01295094768300301,32.42857910804348,293.27639130434784,4.607913043478261,54.4,55.6,42.1,46.3
Americas,BHS,Bahamas (the),373295.1304347826,8.921176371,21.94747561154187,0.004500710562796405,4.112398306217392,1971.4336956521738,8.883347826086958,54.3,55.9,45.9,49.0
Americas,BLZ,Belize,327205.47826086957,1.1890143225652174,3.2186271975894525,0.7364637380979148,174.45272792869565,71.96295652173913,260.4003043478261,46.5,47.4,42.6,32.2
Americas,BOL,Bolivia (Plurinational State of),10406010.391304348,99.3638230299565,8.874910201509035,0.386387648263749,66.35258721995652,4614.072173643478,2604.8428260869564,41.9,45.3,29.6,45.0
Americas,BRA,Brazil,197414656.4347826,3828.8673061356963,19.28209815155252,0.8318673934888762,511.2444410593913,88813.13382608695,420788.2000869565,46.3,53.0,33.1,53.4
Americas,BRB,Barbados,274362.26086956525,2.050823706695652,7.328049231170783,0.014983171966504729,42.98148128613043,1017.5108260869565,17.622478260869567,50.5,53.1,47.3,59.2
Americas,CAN,Canada,34480863.26086956,18.47930007826087,0.5323391756485031,0.6282294978645219,2477.9030796923475,234040.26086956522,397182.6956521739,57.6,61.1,51.7,52.5
Americas,CHL,Chile,17309750.608695652,187.84154903456522,10.629032026518368,0.4700956986543934,477.2714600914783,35341.871695652175,30839.431217391306,46.6,49.6,36.5,46.7
Americas,COL,Colombia,45406475.95652174,128.6105707025652,2.7009247011836903,0.7500997269120802,227.4251362201304,16448.384652173914,47804.91086956522,45.3,49.7,30.7,49.2
Americas,CRI,Costa Rica,4647287.565217392,138.0127146157826,28.43234324694488,0.9616196147423877,469.3455470193913,367.30121739130436,9379.874,55.3,55.5,46.4,50.5
Americas,CUB,Cuba,11267845.217391305,9.362892232304349,0.8266861839141271,0.044161829196401346,53.57724655130435,17099.678826086958,779.3990869565217,50.0,52.5,42.6,62.3
Americas,CUW,Curaçao,147266.4347826087,0.0,0.0,0.1346724238461554,171.71440484369566,742.928,116.36704347826087,62.5,66.9,54.8,68.3
Americas,CYM,Cayman Islands,55074.217391304344,0.0,0.0,0.00646899622786936,47.4967505673913,662.752,4.912434782608696,71.3,72.6,65.0,74.3
Americas,DMA,Dominica,69564.86956521739,1.6289145587826088,23.197764290324546,0.30828316913486203,103.30751759486955,63.94117391304348,27.81808695652174,49.5,49.3,45.3,50.7
Americas,DOM,Dominican Republic (the),9900610.47826087,32.59962007647826,3.132741523690423,0.12037047908728758,77.40114343334783,14607.892173913044,2074.079956521739,48.8,47.7,41.4,45.2
Americas,ECU,Ecuador,15266097.347826088,233.59736719952173,15.250117786445443,0.615384608428201,190.6638557666087,7800.256327456521,13510.472043478261,44.3,51.3,36.5,52.3
Americas,GRD,Grenada,115585.86956521739,0.8284660562608697,7.224756733459128,0.006378490252492846,9.145851181304348,194.4846956521739,1.4489999999999998,45.4,45.8,36.1,39.0
Americas,GRL,Greenland,56501.47826086957,0.0,0.0,0.6267802941402223,1173.636856997,181.15826086956523,322.0761304347826,68.0,67.7,63.3,77.9
Americas,GTM,Guatemala,14511187.956521738,11.840035151260869,0.7787906386113747,0.6135277114546801,110.60864094708697,3595.749086956522,6104.192304347826,35.3,32.5,49.3,33.3
Americas,GUY,Guyana,764650.8260869565,7.467915543869566,9.368426741253062,0.06989132940903973,53.85292373391304,918.9380869565218,70.17604347826087,46.7,49.0,43.4,19.6
Americas,HND,Honduras,8592792.826086957,97.68775287169565,10.446227719534741,0.46819209076722956,109.59045517486958,3799.343782608696,3581.2603043478257,37.3,40.2,38.1,44.1
Americas,HTI,Haiti,9984573.173913043,12.103783632565216,1.156345277665807,0.2797788550895263,6.212649127826087,627.7767391304347,195.20565217391302,28.7,36.4,30.2,51.2
Americas,JAM,Jamaica,2738983.0,16.31568244404348,5.888642225729406,0.07404796635628683,45.91728389530435,3793.934217391304,310.91021739130434,47.5,48.5,52.1,58.8
Americas,KNA,Saint Kitts and Nevis,47208.086956521736,0.9199599791739131,19.370652866027005,0.021993822953529033,45.756166027913046,203.004,4.968999999999999,45.64830640722931,47.9244159183014,40.46587278978072,44.93186539889313
Americas,LCA,Saint Lucia,171139.91304347827,0.9208947313043478,5.222698902134426,0.004899652231977012,5.620726185217392,358.0483913043478,1.9693913043478257,49.0,51.1,39.1,50.4
Americas,MAF,Saint Martin (French Part),33795.82608695652,0.0,0.0,0.0038290810725620595,14.131927351695653,170.34882608695654,0.7495217391304348,65.4,67.0,63.4,60.9
Americas,MEX,Mexico,113835935.82608695,212.91035010069564,1.7693584514811445,0.16048331071466795,145.60837354699999,241868.60869565216,46688.29517391305,42.0,44.2,46.3,51.2
Americas,NIC,Nicaragua,5976126.0869565215,65.0463263948261,10.308166063784343,0.42407726172178173,76.51286983773913,2018.7,1661.7830869565216,46.2,47.4,47.0,45.9
Americas,PAN,Panama,3699059.5217391304,55.28242506791304,13.6492786740015,0.6494659431633646,393.26226802317393,2774.9798260869566,5415.600869565218,47.7,52.9,25.9,45.0
Americas,PER,Peru,29907118.95652174,105.81890484834784,3.4031066569396047,0.643958234554238,140.19421865021738,14744.149217391303,23617.66943478261,42.6,46.5,27.5,40.2
Americas,PRI,Puerto Rico,3588530.304347826,0.0,0.0,0.01720059867377314,82.36403234856522,21369.992347826086,343.9742608695652,57.0,57.2,60.8,57.7
