Population,Public Flows per Capita (USD),Renewable Energy Share of Electricity Production (%),SDG 7b1 RE capacity per capita (W/inhabitant),Total Non-Renewable,Total Renewable
0.7207472978976829,-0.39777679115653447,-0.460731317080115,0.044478074460368604,1.8901660059173948,1.4793592006625969
-0.09538938185784707,-0.3955721944149663,0.7687902624983173,-0.1487232594867264,-0.19910147620286123,-0.13258672893661905
-0.2503170355715262,-0.2124765604398947,0.8973688584898503,0.6191491852127118,-0.21713915800125166,-0.22330168006165943
-0.1114636538505952,-0.40284260178845543,-0.5809150736449834,0.5469029617417756,0.28430683851796323,0.060257103145702456
-0.14640267633879256,-0.04811236078685139,0.46933619154898276,0.20874864919559374,-0.1382424807929803,0.04109764466916431
-0.26392285061764637,-0.4048956561339714,-0.7174336132301604,-0.10493554779982323,-0.22026949461167905,-0.2543168075258207
8.930336195904962,-0.3977568495923981,-0.347460038675542,-0.03415042666127368,8.395625667342795,9.963982704673567
-0.03125825174222644,-0.21640020668504412,1.778359944794786,-0.35616182416669256,-0.22167023892418367,-0.22907855148862624
-0.24537575221767663,-0.3425136770946764,-0.7521875011222724,-0.34808005171296624,-0.21121672178817089,-0.25168023967653536
-0.2638828788265757,1.6467420650684155,-0.845672035475394,-0.3420230638049245,-0.22215230664415372,-0.25509417435778625
-0.2623975395282664,3.2654698132068964,2.1068742404874827,8.097757238358339,-0.2222723385170457,-0.10981946138798634
-0.2623709388744721,-0.29685642780303717,1.2929195829656361,-0.16307872012735317,-0.222109300711922,-0.25262212887217295
-0.1888855857539672,-0.05797151608456243,-0.921280846545572,-0.35414627754695643,-0.18339263565755493,-0.25145096569854225
-0.22263808607224883,0.05136312854718369,0.9831704225579916,-0.19224899398496023,-0.21745148060016922,-0.21947860399739122
-0.25345753438084917,-0.35635586284345044,-0.8964523796498777,-0.37710483506890535,-0.22222566592842224,-0.25511585219380045
-0.2620562076700248,0.3318123200674515,-0.9702370399849714,-0.3722375003678117,-0.21759262981270835,-0.2550380165345861
-0.2554511865062601,1.453298198566849,-0.6198359919387277,-0.02406295081638553,-0.20023397429813247,-0.24448957267649546
-0.26447778814558165,5.700825012396021,-0.9333908758305386,-0.2996468202903357,-0.2220576902435663,-0.25510871798572793
-0.06719738161938328,-0.3644191504512022,-0.6516340532100213,-0.17122554792269382,0.04132599701545282,-0.11441016161957542
-0.19172750584468498,-0.29649689293952197,0.9905541357568349,-0.36902567286971144,-0.22179234111113919,-0.2526336994609957
0.2965860320199421,-0.31470671688321117,-0.30550016622897935,0.6774433944373649,0.9242810503344395,1.0472236465316191
-0.2642594047793551,2.0458709126908596,-0.948221444104228,-0.35820831416937454,-0.22209822196329118,-0.2551145208201931
-0.2004096923310537,-0.32980042255594916,1.714737312304394,-0.3697579603251746,-0.22218472883567217,-0.25339654772223924
